ProtoForm	ProtoFormGloss	Reflex	ReflexGloss	GlottologName	ACDName	GlottoCode	Latitude	Longitude	ProtoLanguage	ReflexCount
*dúyan	swinging cradle for an infant	do:yan	hammock	Ibanag	Ibanag	iban1267	17.4201	121.891	PPh	24
*dúyan	swinging cradle for an infant	dáyun	cradle, i.e. an oblong basket that can be suspended in some way on both its ends, so that the baby can be rocked; the word is also applied to a long cradle-like basket used to carry a sick person to a certain place	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	24
*dúyan	swinging cradle for an infant	dāyun	a blanket or mat hammock (as for a child to sleep in); a hammock is suspended from a horizontal pole and carried on the shoulders of two men to transport someone unable to walk; it is sometimes suspended from two vertical poles and used for sleeping	Batad Ifugao	Ifugaw (Batad)	bata1298	16.8266	121.23	PPh	24
*dúyan	swinging cradle for an infant	dúyan	a rattan stretcher; hammock	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	24
*dúyan	swinging cradle for an infant	do:yan	hammock	Lubuagan Kalinga	Kalinga	lubu1243	17.3879	121.0365	PPh	24
*dúyan	swinging cradle for an infant	du:yan	hammock	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	24
*dúyan	swinging cradle for an infant	duyan	to swing in a hammock	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	24
*dúyan	swinging cradle for an infant	doyan	a child’s swing; to swing (as in a hammock)	Mansaka	Mansaka	mans1262	6.79221	126.181	PPh	24
*dúyan	swinging cradle for an infant	doyan	hammock	Maranao	Maranao	mara1404	7.79414	124.175	PPh	24
*dúyan	swinging cradle for an infant	i-dúyan	to swing in a hammock	Masbatenyo	Masbatenyo	masb1238	12.21453	123.63579	PPh	24
*dúyan	swinging cradle for an infant	duyán-an	hammock	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	24
*dúyan	swinging cradle for an infant	man-andóyan	to swing in a hammock, cradle, etc.	Pangasinan	Pangasinan	pang1290	15.9377	120.365	PPh	24
*dúyan	swinging cradle for an infant	i-pag-dúyan	to swing somebody in a cradle, hammock or swing	Tagalog	Tagalog	taga1270	14.06	121.747	PPh	24
*dúyan	swinging cradle for an infant	dúyan	hammock; couch or bed	Waray (Philippines)	Waray-Waray	wara1300	11.4911	125.012	PPh	24
*dúyan	swinging cradle for an infant	do:yan	hammock	Yogad	Yogad	yoga1237	16.7015	121.718	PPh	24
*man	particle expressing solidarity, concession, qualification, or emphasis	man	particle showing concession; whether; even if; no matter what	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	answer or response particle; it can mean “also” or “too”, but is used far more frequently than those English equivalents	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	indeed; please, I entreat you	Abenlen Ayta	Ayta Abellan	aben1249	15.4131	120.2	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	too, also; also used to soften the impact of negatives and commands	Bikol	Bikol	biko1240			PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	used to indicate emphasis	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	a particle which implies solidarity with the addressee	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	again (usually followed by the particle )	Casiguran-Nagtipunan Agta	Casiguran Dumagat	casi1235	16.2176	121.878	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	because; particle used after an interrogative to make the question not abrupt; particle with a statement contradicting a previous statement or presumption; particle with a statement giving information	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	adds emphasis	Central Tagbanwa	Central Tagbanwa	cent2090	10.6519	119.338	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	also, too; fine	Hiligaynon	Hiligaynon	hili1240	10.4018	122.974	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	an exclamatory particle expressing strong feeling about a statement being made	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	an exclamatory particle expressing strong feeling about a statement being made	Batad Ifugao	Ifugaw (Batad)	bata1298	16.8266	121.23	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	particle of entreaty: please; affirms a negative statement; whether or not; may express unexpected information; so what; again	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	adverb for emphasis, ever	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	please; indeed; then; why! A small particle of very frequent use, mostly mitigating the sentence, although it might reinforce it in several cases; it is used in calling, inviting, wondering, etc.	Kankanaey	Kankanaey	kank1243	16.8548	120.689	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	adjunct used to indicate response	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	emphatic particle	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	as if; then; like; pretend; emphasis	Maranao	Maranao	mara1404	7.79414	124.175	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	maŋ	an adverb: merely, only, but; as a marker of emphasis: still, yet, nevertheless	Sangir	Sangir	sang1336	3	125.5	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	although; even if; even though; also; anything, at all; at least	Tagalog	Tagalog	taga1270	14.06	121.747	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man-tag	even if, even so, even then, even when	Calamian Tagbanwa	Tboli	cala1258	12.0716	120.094	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	a particle with the meaning “again”	Tiruray	Tiruray	tiru1241	6.77321	124.127	PPh	23
*man	particle expressing solidarity, concession, qualification, or emphasis	man	too, also	Waray (Philippines)	Waray-Waray	wara1300	11.4911	125.012	PPh	23
*tulduq	to point, indicate; to point out, instruct	panoldok	index or forefinger	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	23
*tulduq	to point, indicate; to point out, instruct	i-tukdóʔ	to point something out; to designate, indicate, show; specify	Bikol	Bikol	biko1240			PPh	23
*tulduq	to point, indicate; to point out, instruct	tulduʔ	index finger	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	23
*tulduq	to point, indicate; to point out, instruct	tədək	point at with the finger; dip a finger into a substance such as sugar or salt, for the purpose of conveying it to the mouth	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	23
*tulduq	to point, indicate; to point out, instruct	tóldu	finger, forefinger; to teach, to point out, to show how, to show where	Casiguran-Nagtipunan Agta	Casiguran Dumagat	casi1235	16.2176	121.878	PPh	23
*tulduq	to point, indicate; to point out, instruct	túdluʔ	point at, point out; point, give directions; teach; appoint; index finger	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	23
*tulduq	to point, indicate; to point out, instruct	tuldo	finger or toe	Central Tagbanwa	Central Tagbanwa	cent2090	10.6519	119.338	PPh	23
*tulduq	to point, indicate; to point out, instruct	mag-túdluʔ	to point out, to teach	Hiligaynon	Hiligaynon	hili1240	10.4018	122.974	PPh	23
*tulduq	to point, indicate; to point out, instruct	tuddú	to teach by speaking, by writing (e.g. on a blackboard), by showing (e.g. pictures)	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	23
*tulduq	to point, indicate; to point out, instruct	mag-toldó	to explain, to teach	Isnag	Isneg	isna1241	18.2139	121.16	PPh	23
*tulduq	to point, indicate; to point out, instruct	túldu	teachings	Itawit	Itawis	itaw1240	17.7329	121.58	PPh	23
*tulduq	to point, indicate; to point out, instruct	tongdo	idea of pointing at something	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	23
*tulduq	to point, indicate; to point out, instruct	tulduʔ	point at, point out, point to, teach	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	23
*tulduq	to point, indicate; to point out, instruct	tezuʔ	specifically, the index finger; a finger; a toe; to point	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	23
*tulduq	to point, indicate; to point out, instruct	tolloʔ	finger	Mansaka	Mansaka	mans1262	6.79221	126.181	PPh	23
*tulduq	to point, indicate; to point out, instruct	tōʔ	a teaching	Mapun	Mapun	mapu1244	6.09061	118.75	PPh	23
*tulduq	to point, indicate; to point out, instruct	túdloʔ	finger, toe	Masbatenyo	Masbatenyo	masb1238	12.21453	123.63579	PPh	23
*tulduq	to point, indicate; to point out, instruct	t<an>oldoʔ ~ t<un>ulduʔ	finger	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	23
*tulduq	to point, indicate; to point out, instruct	túdluʔ	finger or toe (excluding the big toe); the index finger; advice, information, teaching given to someone; someone advises, informs or teaches something to someone else	Romblomanon	Romblomanon	romb1245	12.4047	122.56	PPh	23
*tulduq	to point, indicate; to point out, instruct	tudluʔ	forefinger, index finger	Tausug	Tausug	taus1251	5.12236	118.88	PPh	23
*tulduq	to point, indicate; to point out, instruct	t<em>edok	to point	Calamian Tagbanwa	Tboli	cala1258	12.0716	120.094	PPh	23
*tulduq	to point, indicate; to point out, instruct	tenduʔ	to point at something	Tiruray	Tiruray	tiru1241	6.77321	124.127	PPh	23
*tulduq	to point, indicate; to point out, instruct	todo	point at	Yami	Yami	yami1254	22.055	121.544	PPh	23
*bulbúl	body hair, feathers	búebue	hair (of animals or people); feathers (of fowl)	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	21
*bulbúl	body hair, feathers	bulból	pubic hair	Bikol	Bikol	biko1240			PPh	21
*bulbúl	body hair, feathers	bulbul	feathers	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	21
*bulbúl	body hair, feathers	bulbúl	pubic hair, grow pubic hairs	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	21
*bulbúl	body hair, feathers	bulbúl	body hair	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	21
*bulbúl	body hair, feathers	bulbúl	the pubes or pubic hair	Isnag	Isneg	isna1241	18.2139	121.16	PPh	21
*bulbúl	body hair, feathers	voxbox	feather, hair of body, fine hair, down, fluff	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	21
*bulbúl	body hair, feathers	bulbul	down, small feathers or hair	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	21
*bulbúl	body hair, feathers	bulvul	body hair, feathers	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	21
*bulbúl	body hair, feathers	bobol	feathers, body hair; grow hair	Mansaka	Mansaka	mans1262	6.79221	126.181	PPh	21
*bulbúl	body hair, feathers	bolbol	feathers, fur, hair	Maranao	Maranao	mara1404	7.79414	124.175	PPh	21
*bulbúl	body hair, feathers	bubul	feathers, fur, body hair and pubic hair; used as a term of abuse	Mongondow	Mongondow	mong1342	0.64616	124.114	PPh	21
*bulbúl	body hair, feathers	búlbul	hair in nose; hair; fuzz on plant stem; feather; down	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	21
*bulbúl	body hair, feathers	bulbul	feather, fur, body hair		Proto-Minahasan				PPh	21
*bulbúl	body hair, feathers	bombul	body hair, feathers	Central Subanen	Subanen/Subanun	cent2089	8.12701	123.018	PPh	21
*bulbúl	body hair, feathers	bombul	body hair, feathers	Western Subanon	Subanon	west2557	7.79964	122.341	PPh	21
*bulbúl	body hair, feathers	bulból	hair in armpits, pubic hair	Tagalog	Tagalog	taga1270	14.06	121.747	PPh	21
*bulbúl	body hair, feathers	bul	body hair, fur, feather	Calamian Tagbanwa	Tboli	cala1258	12.0716	120.094	PPh	21
*bulbúl	body hair, feathers	bubul	all body hair except on head and face	Tiruray	Tiruray	tiru1241	6.77321	124.127	PPh	21
*bulbúl	body hair, feathers	budbud	feather	Tonsea	Tonsea	tons1240	1.51393	125.052	PPh	21
*bulbúl	body hair, feathers	boboh	body hair, feather	Yami	Yami	yami1254	22.055	121.544	PPh	21
*habél	weave cloth	háboe	blanket, use a blanket	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	21
*habél	weave cloth	haból	the weave of cloth	Bikol	Bikol	biko1240			PPh	21
*habél	weave cloth	ʔabə́l	weave cloth	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	21
*habél	weave cloth	habúl	weave with a hand loom	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	21
*habél	weave cloth	wawolo	to weave	Gorontalo	Gorontalo	goro1259	0.62689	122.288	PPh	21
*habél	weave cloth	hábul	weaving of cloth	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	21
*habél	weave cloth	aból	weaving; whatever pertains to weaving	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	21
*habél	weave cloth	abél	textile, (woven) cloth, web, texture, tissue, woven fabric	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	21
*habél	weave cloth	avo	spinning, weaving	Coastal Kadazan	Kadazan Dusun	coas1294	5.77065	116.063	PPh	21
*habél	weave cloth	abul	blanket	Kalagan	Kalagan	kala1388	6.8126	125.328	PPh	21
*habél	weave cloth	habɨl	blanket	Mamanwa	Mamanwa	mama1275	9.44744	125.548	PPh	21
*habél	weave cloth	havel	weave cloth	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	21
*habél	weave cloth	aol	to weave	Maranao	Maranao	mara1404	7.79414	124.175	PPh	21
*habél	weave cloth	aboḷ	to weave	Mongondow	Mongondow	mong1342	0.64616	124.114	PPh	21
*habél	weave cloth	awol	weave, woven material	Timugon Murut	Murut (Timugon)	timu1262	5.1796	115.826	PPh	21
*habél	weave cloth	ʔabél	clothing, garments	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	21
*habél	weave cloth	abél	cloth	Pangasinan	Pangasinan	pang1290	15.9377	120.365	PPh	21
*habél	weave cloth	m-abol	to weave cloth	Central Subanen	Subanen/Subanun	cent2089	8.12701	123.018	PPh	21
*habél	weave cloth	m-abol	to weave cloth	Western Subanon	Subanon	west2557	7.79964	122.341	PPh	21
*habél	weave cloth	hábi	texture of fabric, woven pattern on fabric	Tagalog	Tagalog	taga1270	14.06	121.747	PPh	21
*habél	weave cloth	ʔawel	weave cloth	Tiruray	Tiruray	tiru1241	6.77321	124.127	PPh	21
*dakél	big, large (in size or quantity)	dakál	big, large	Central Cagayan Agta	Agta (Central Cagayan)	cent2084	17.9571	121.857	PPh	18
*dakél	big, large (in size or quantity)	dakál	big, large	Dupaninan Agta	Agta (Dupaningan)	dupa1235	17.3748	122.188	PPh	18
*dakél	big, large (in size or quantity)	mag-dakól	to abound, accumulate, increase in number	Bikol	Bikol	biko1240			PPh	18
*dakél	big, large (in size or quantity)	mig-dakel	to increase in number, make plentiful	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	18
*dakél	big, large (in size or quantity)	cakə́l si búlan	full moon	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	18
*dakél	big, large (in size or quantity)	shakel	many, much, lot of, plenty of	Ibaloi	Ibaloy	ibal1244	16.4263	120.695	PPh	18
*dakél	big, large (in size or quantity)	dakól	much, many	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	18
*dakél	big, large (in size or quantity)	mad-dakál	to grow	Itawit	Itawis	itaw1240	17.7329	121.58	PPh	18
*dakél	big, large (in size or quantity)	rakox	large, big, huge, vast	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	18
*dakél	big, large (in size or quantity)	dakál	many, much	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	18
*dakél	big, large (in size or quantity)	dakel	big	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	18
*dakél	big, large (in size or quantity)	dakel	many, plenty	Maranao	Maranao	mara1404	7.79414	124.175	PPh	18
*dakél	big, large (in size or quantity)	dakə́l	many	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	18
*dakél	big, large (in size or quantity)	dakél	much, many; often	Pangasinan	Pangasinan	pang1290	15.9377	120.365	PPh	18
*dakél	big, large (in size or quantity)	dakel	big; many		Proto-Sangiric				PPh	18
*dakél	big, large (in size or quantity)	mo-dakol	many	Central Subanen	Subanen/Subanun	cent2089	8.12701	123.018	PPh	18
*dakél	big, large (in size or quantity)	mo-dakol	many	Western Subanon	Subanon	west2557	7.79964	122.341	PPh	18
*dakél	big, large (in size or quantity)	ráko	very big, large	Yami	Yami	yami1254	22.055	121.544	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lobid-lobid	a native pastry like donuts, twisted into the shape of a figure eight	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	cord, line, rope, string, twine	Bikol	Bikol	biko1240			PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	thread, string	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lubíd	string, twine; to twist abaca fiber by rolling it over one’s thigh	Casiguran-Nagtipunan Agta	Casiguran Dumagat	casi1235	16.2176	121.878	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	rope, cord, as a fishline, usually twisted, and made of bast or other fibrous material	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	18
*lúbid	string, rope, cordage made by twining fibers	dobid	rope	Ibaloi	Ibaloy	ibal1244	16.4263	120.695	PPh	18
*lúbid	string, rope, cordage made by twining fibers	hobid	rope or string	Ibatan	Ibatan	ibat1238	18.9398	121.909	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	string, line	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	the string of the snare (made of pineapple fiber, etc.)	Isnag	Isneg	isna1241	18.2139	121.16	PPh	18
*lúbid	string, rope, cordage made by twining fibers	xovid	string, cord (in general)	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	18
*lúbid	string, rope, cordage made by twining fibers	hovid	string, cord (in general)	Itbayat	Ivatan	ivat1242	20.77	121.85	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	cord; rope; twist; twine; string	Kankanaey	Kankanaey	kank1243	16.8548	120.689	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	rope	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lubid	cord; snare for birds	Mongondow	Mongondow	mong1342	0.64616	124.114	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lúbid	string, tie, rope; necklace	Batak	Palawan Batak	bata1301	10.1115	119.025	PPh	18
*lúbid	string, rope, cordage made by twining fibers	lobír	rope, string	Pangasinan	Pangasinan	pang1290	15.9377	120.365	PPh	18
*lúbid	string, rope, cordage made by twining fibers	l<um>ubid	to braid something	Tausug	Tausug	taus1251	5.12236	118.88	PPh	18
*lúbid	string, rope, cordage made by twining fibers	ovid-en	weave a strand	Yami	Yami	yami1254	22.055	121.544	PPh	18
*túnaw	to melt, dissolve	túnaw	to melt, dissolve	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	18
*túnaw	to melt, dissolve	pa-tunáw-on	to digest food	Bikol	Bikol	biko1240			PPh	18
*túnaw	to melt, dissolve	tunaw	to melt, to dissolve (of a burning candle, salt in water, etc.)	Casiguran-Nagtipunan Agta	Casiguran Dumagat	casi1235	16.2176	121.878	PPh	18
*túnaw	to melt, dissolve	tunáw-an	vessel for melting something by heating	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	18
*túnaw	to melt, dissolve	ma-túnaw	dissolve, melt	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	18
*túnaw	to melt, dissolve	ma-túnaw	to melt (as ice), to digest, to dissolve	Hiligaynon	Hiligaynon	hili1240	10.4018	122.974	PPh	18
*túnaw	to melt, dissolve	ma-túnaw	to melt, dissolve	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	18
*túnaw	to melt, dissolve	maŋi-túnaw	to make red-hot (spearheads, blades of axes, etc.)	Isnag	Isneg	isna1241	18.2139	121.16	PPh	18
*túnaw	to melt, dissolve	tonaw	idea of liquefication	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	18
*túnaw	to melt, dissolve	tunew	to melt or dissolve something	Western Bukidnon Manobo	Manobo (Western Bukidnon)	west2555	7.6682	124.825	PPh	18
*túnaw	to melt, dissolve	tonaw-an	mold, cast, matrix	Mansaka	Mansaka	mans1262	6.79221	126.181	PPh	18
*túnaw	to melt, dissolve	tonaw	melt, dissolve	Maranao	Maranao	mara1404	7.79414	124.175	PPh	18
*túnaw	to melt, dissolve	ma-túnaw	be melted, be dissolved	Masbatenyo	Masbatenyo	masb1238	12.21453	123.63579	PPh	18
*túnaw	to melt, dissolve	ma-tūnaw	food is digested by someone; something, as a metal, melts with heat	Romblomanon	Romblomanon	romb1245	12.4047	122.56	PPh	18
*túnaw	to melt, dissolve	ma-nuno	to melt	Sangir	Sangir	sang1336	3	125.5	PPh	18
*túnaw	to melt, dissolve	ma-túnaw	to melt, to dissolve, to liquefy	Tagalog	Tagalog	taga1270	14.06	121.747	PPh	18
*túnaw	to melt, dissolve	tunaw	(of ice or a tablet) dissolved, melted; (of food) digested	Tausug	Tausug	taus1251	5.12236	118.88	PPh	18
*túnaw	to melt, dissolve	tunáw	melted, liquefied	Waray (Philippines)	Waray-Waray	wara1300	11.4911	125.012	PPh	18
*buR(e)túŋ	only child; alone, by onself; go it alone	bogtoŋ	only offspring of a human or animal	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	búgtoŋ	only child	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bogtoŋ	the only one	Abenlen Ayta	Ayta Abellan	aben1249	15.4131	120.2	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtóŋ	the only child in a family	Bikol	Bikol	biko1240			PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtuŋ	sole, lone, only	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtúŋ	an only child; a single offspring in a delivery, of animals that normally have litters	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	b<in>ugtuŋ	to do s.t. alone, single-handedly; to do s.t. with another in singles	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtúŋ	one and only, truly unique	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	on-boltoŋ	to separate oneself, go on one’s own (as a goat that leaves the herd, young married couple who leave their parents and set up their own home, person who goes into business for himself	Ibaloi	Ibaloy	ibal1244	16.4263	120.695	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtuŋ	an only child of a man, a woman	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtuŋ	an only child of a man, a woman	Batad Ifugao	Ifugaw (Batad)	bata1298	16.8266	121.23	PPh	17
*buR(e)túŋ	only child; alone, by onself; go it alone	bugtóŋ	one of its kind	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	17
